Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
4-4-4,8,196,1053,857,2.0,6.0,4.372448979591836,0.9221247050928318,0.8503139717425421
4-4-4,81,196,1035,839,2.0,6.0,4.280612244897959,0.869914014408712,0.7567503924646807
4-4-4,82,196,1008,812,2.0,5.0,4.142857142857143,0.6793662204867571,0.461538461538461
4-4-4,83,196,1080,884,2.0,6.0,4.5102040816326525,1.0252694250949548,1.051177394034539
4-4-4,84,196,1050,854,2.0,5.0,4.357142857142857,0.8070204776101113,0.6512820512820522
4-4-4,85,196,1092,896,2.0,6.0,4.571428571428572,1.1412993045490314,1.3025641025641026
4-4-4,86,196,1101,905,2.0,6.0,4.61734693877551,1.1509216382872287,1.3246206174777586
4-4-4,87,196,1101,905,2.0,6.0,4.61734693877551,1.1509216382872287,1.3246206174777586
4-4-4,88,196,1020,824,3.0,5.0,4.204081632653061,0.7573121657406929,0.5735217163788587
4-4-4,89,196,990,794,3.0,5.0,4.051020408163265,0.5969572244193881,0.3563579277864997
4-4-4,9,196,1011,815,2.0,5.0,4.158163265306122,0.694657040543731,0.4825484039769747
4-4-4,90,196,1020,824,2.0,5.0,4.204081632653061,0.7367173715948532,0.542752485609629
4-4-4,91,196,1014,818,2.0,5.0,4.173469387755102,0.7092865350489008,0.5030873888016756
4-4-4,92,196,1089,893,2.0,6.0,4.556122448979591,1.0822167493721688,1.1711930926216638
4-4-4,93,196,1029,833,2.0,5.0,4.25,0.7737686661515499,0.5987179487179487
4-4-4,94,196,1089,893,2.0,6.0,4.5561224489795915,1.0822167493721693,1.1711930926216645
4-4-4,95,196,1041,845,2.0,5.0,4.311224489795919,0.7779503185061641,0.6052066980638422
4-4-4,96,196,1011,815,2.0,5.0,4.158163265306122,0.672145202473204,0.45177917320774436
4-4-4,97,196,1089,893,3.0,6.0,4.5561224489795915,1.151103490772145,1.3250392464678173
4-4-4,98,196,1053,857,3.0,6.0,4.372448979591836,1.0020779039519305,1.0041601255886945
4-4-4,99,196,1029,833,2.0,6.0,4.25,0.849585117451378,0.7217948717948718
6-4-4,1,292,1613,1321,3.0,6.0,4.523972602739727,0.783928322212615,0.6145436143670855
6-4-4,10,292,1661,1369,3.0,7.0,4.688356164383561,1.0691558332324926,1.1430941957350655
6-4-4,100,292,1706,1414,3.0,7.0,4.842465753424658,1.1880756693384487,1.411523796074003
6-4-4,11,292,1604,1312,3.0,6.0,4.493150684931507,0.7973028015031388,0.6356917572847536
6-4-4,12,292,1583,1291,2.0,5.0,4.421232876712329,0.6291552077818187,0.3958362754789835
6-4-4,13,292,1697,1405,2.0,7.0,4.811643835616438,1.0691558332324922,1.1430941957350644
6-4-4,14,292,1622,1330,3.0,6.0,4.554794520547945,0.8209526100047747,0.6739631878736517
6-4-4,15,292,1685,1393,3.0,7.0,4.77054794520548,1.0578242474942747,1.1189921385868284
6-4-4,16,292,1763,1471,3.0,7.0,5.037671232876713,1.263532407908985,1.5965141458362777
6-4-4,17,292,1577,1285,2.0,5.0,4.4006849315068495,0.6151575190493495,0.37841877324295076
