Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
12-4-4,8,1,60,59,59.0,59.0,59.0,0.0,0.0
12-4-4,80,1,67,66,66.0,66.0,66.0,0.0,0.0
12-4-4,81,1,62,61,61.0,61.0,61.0,0.0,0.0
12-4-4,82,1,59,58,58.0,58.0,58.0,0.0,0.0
12-4-4,83,1,66,65,65.0,65.0,65.0,0.0,0.0
12-4-4,84,1,68,67,67.0,67.0,67.0,0.0,0.0
12-4-4,85,1,59,58,58.0,58.0,58.0,0.0,0.0
12-4-4,86,1,61,60,60.0,60.0,60.0,0.0,0.0
12-4-4,87,1,61,60,60.0,60.0,60.0,0.0,0.0
12-4-4,88,1,59,58,58.0,58.0,58.0,0.0,0.0
12-4-4,89,1,56,55,55.0,55.0,55.0,0.0,0.0
12-4-4,9,1,79,78,78.0,78.0,78.0,0.0,0.0
12-4-4,90,1,62,61,61.0,61.0,61.0,0.0,0.0
12-4-4,91,1,57,56,56.0,56.0,56.0,0.0,0.0
12-4-4,92,1,59,58,58.0,58.0,58.0,0.0,0.0
12-4-4,93,1,63,62,62.0,62.0,62.0,0.0,0.0
12-4-4,94,1,63,62,62.0,62.0,62.0,0.0,0.0
12-4-4,95,1,61,60,60.0,60.0,60.0,0.0,0.0
12-4-4,96,1,67,66,66.0,66.0,66.0,0.0,0.0
12-4-4,97,1,70,69,69.0,69.0,69.0,0.0,0.0
12-4-4,99,1,66,65,65.0,65.0,65.0,0.0,0.0
14-4-4,1,1,80,79,79.0,79.0,79.0,0.0,0.0
14-4-4,10,1,80,79,79.0,79.0,79.0,0.0,0.0
14-4-4,100,1,73,72,72.0,72.0,72.0,0.0,0.0
14-4-4,11,1,75,74,74.0,74.0,74.0,0.0,0.0
14-4-4,12,1,80,79,79.0,79.0,79.0,0.0,0.0
14-4-4,13,1,82,81,81.0,81.0,81.0,0.0,0.0
14-4-4,14,1,79,78,78.0,78.0,78.0,0.0,0.0
14-4-4,15,1,85,84,84.0,84.0,84.0,0.0,0.0
14-4-4,16,1,70,69,69.0,69.0,69.0,0.0,0.0
14-4-4,17,1,83,82,82.0,82.0,82.0,0.0,0.0
14-4-4,18,1,71,70,70.0,70.0,70.0,0.0,0.0
14-4-4,2,1,77,76,76.0,76.0,76.0,0.0,0.0
14-4-4,20,1,73,72,72.0,72.0,72.0,0.0,0.0
14-4-4,21,1,75,74,74.0,74.0,74.0,0.0,0.0
14-4-4,22,1,70,69,69.0,69.0,69.0,0.0,0.0
14-4-4,23,1,82,81,81.0,81.0,81.0,0.0,0.0
14-4-4,24,1,88,87,87.0,87.0,87.0,0.0,0.0
14-4-4,25,1,87,86,86.0,86.0,86.0,0.0,0.0
14-4-4,26,1,77,76,76.0,76.0,76.0,0.0,0.0
14-4-4,27,1,71,70,70.0,70.0,70.0,0.0,0.0
14-4-4,28,1,76,75,75.0,75.0,75.0,0.0,0.0
14-4-4,29,1,73,72,72.0,72.0,72.0,0.0,0.0
14-4-4,3,1,71,70,70.0,70.0,70.0,0.0,0.0
14-4-4,30,1,68,67,67.0,67.0,67.0,0.0,0.0
14-4-4,31,1,88,87,87.0,87.0,87.0,0.0,0.0
14-4-4,32,1,88,87,87.0,87.0,87.0,0.0,0.0
14-4-4,33,1,79,78,78.0,78.0,78.0,0.0,0.0
14-4-4,34,1,70,69,69.0,69.0,69.0,0.0,0.0
14-4-4,35,1,66,65,65.0,65.0,65.0,0.0,0.0
14-4-4,36,1,71,70,70.0,70.0,70.0,0.0,0.0
14-4-4,37,1,86,85,85.0,85.0,85.0,0.0,0.0
14-4-4,38,1,80,79,79.0,79.0,79.0,0.0,0.0
14-4-4,39,1,75,74,74.0,74.0,74.0,0.0,0.0
14-4-4,4,1,76,75,75.0,75.0,75.0,0.0,0.0
14-4-4,40,1,85,84,84.0,84.0,84.0,0.0,0.0
14-4-4,41,1,76,75,75.0,75.0,75.0,0.0,0.0
14-4-4,42,1,74,73,73.0,73.0,73.0,0.0,0.0
14-4-4,43,1,80,79,79.0,79.0,79.0,0.0,0.0
14-4-4,44,1,71,70,70.0,70.0,70.0,0.0,0.0
14-4-4,45,1,73,72,72.0,72.0,72.0,0.0,0.0
14-4-4,46,1,71,70,70.0,70.0,70.0,0.0,0.0
14-4-4,47,1,84,83,83.0,83.0,83.0,0.0,0.0
14-4-4,48,1,73,72,72.0,72.0,72.0,0.0,0.0
14-4-4,49,1,88,87,87.0,87.0,87.0,0.0,0.0
14-4-4,5,1,71,70,70.0,70.0,70.0,0.0,0.0
14-4-4,50,1,77,76,76.0,76.0,76.0,0.0,0.0
14-4-4,51,1,78,77,77.0,77.0,77.0,0.0,0.0
14-4-4,52,1,74,73,73.0,73.0,73.0,0.0,0.0
14-4-4,53,1,71,70,70.0,70.0,70.0,0.0,0.0
14-4-4,54,1,74,73,73.0,73.0,73.0,0.0,0.0
14-4-4,55,1,71,70,70.0,70.0,70.0,0.0,0.0
14-4-4,56,1,74,73,73.0,73.0,73.0,0.0,0.0
14-4-4,57,1,73,72,72.0,72.0,72.0,0.0,0.0
14-4-4,58,1,68,67,67.0,67.0,67.0,0.0,0.0
14-4-4,59,1,81,80,80.0,80.0,80.0,0.0,0.0
14-4-4,6,1,92,91,91.0,91.0,91.0,0.0,0.0
14-4-4,60,1,87,86,86.0,86.0,86.0,0.0,0.0
14-4-4,61,1,76,75,75.0,75.0,75.0,0.0,0.0
14-4-4,62,1,79,78,78.0,78.0,78.0,0.0,0.0
14-4-4,63,1,73,72,72.0,72.0,72.0,0.0,0.0
14-4-4,64,1,83,82,82.0,82.0,82.0,0.0,0.0
14-4-4,65,1,77,76,76.0,76.0,76.0,0.0,0.0
14-4-4,66,1,83,82,82.0,82.0,82.0,0.0,0.0
14-4-4,67,1,76,75,75.0,75.0,75.0,0.0,0.0
14-4-4,68,1,78,77,77.0,77.0,77.0,0.0,0.0
14-4-4,69,1,79,78,78.0,78.0,78.0,0.0,0.0
14-4-4,7,1,82,81,81.0,81.0,81.0,0.0,0.0
14-4-4,70,1,79,78,78.0,78.0,78.0,0.0,0.0
14-4-4,71,1,83,82,82.0,82.0,82.0,0.0,0.0
14-4-4,72,1,76,75,75.0,75.0,75.0,0.0,0.0
14-4-4,73,1,73,72,72.0,72.0,72.0,0.0,0.0
14-4-4,74,1,74,73,73.0,73.0,73.0,0.0,0.0
14-4-4,75,1,73,72,72.0,72.0,72.0,0.0,0.0
14-4-4,76,1,71,70,70.0,70.0,70.0,0.0,0.0
14-4-4,77,1,78,77,77.0,77.0,77.0,0.0,0.0
14-4-4,78,1,74,73,73.0,73.0,73.0,0.0,0.0
14-4-4,79,1,72,71,71.0,71.0,71.0,0.0,0.0
14-4-4,8,1,80,79,79.0,79.0,79.0,0.0,0.0
14-4-4,80,1,71,70,70.0,70.0,70.0,0.0,0.0
14-4-4,81,1,76,75,75.0,75.0,75.0,0.0,0.0
14-4-4,82,1,79,78,78.0,78.0,78.0,0.0,0.0
14-4-4,83,1,72,71,71.0,71.0,71.0,0.0,0.0
14-4-4,84,1,77,76,76.0,76.0,76.0,0.0,0.0
14-4-4,85,1,71,70,70.0,70.0,70.0,0.0,0.0
14-4-4,86,1,73,72,72.0,72.0,72.0,0.0,0.0
14-4-4,87,1,75,74,74.0,74.0,74.0,0.0,0.0
14-4-4,88,1,70,69,69.0,69.0,69.0,0.0,0.0
14-4-4,89,1,96,95,95.0,95.0,95.0,0.0,0.0
14-4-4,9,1,73,72,72.0,72.0,72.0,0.0,0.0
14-4-4,90,1,74,73,73.0,73.0,73.0,0.0,0.0
14-4-4,91,1,71,70,70.0,70.0,70.0,0.0,0.0
14-4-4,92,1,80,79,79.0,79.0,79.0,0.0,0.0
14-4-4,93,1,81,80,80.0,80.0,80.0,0.0,0.0
14-4-4,94,1,73,72,72.0,72.0,72.0,0.0,0.0
14-4-4,95,1,80,79,79.0,79.0,79.0,0.0,0.0
14-4-4,96,1,77,76,76.0,76.0,76.0,0.0,0.0
14-4-4,97,1,87,86,86.0,86.0,86.0,0.0,0.0
14-4-4,98,1,74,73,73.0,73.0,73.0,0.0,0.0
14-4-4,99,1,69,68,68.0,68.0,68.0,0.0,0.0
16-4-4,1,1,91,90,90.0,90.0,90.0,0.0,0.0
16-4-4,10,1,96,95,95.0,95.0,95.0,0.0,0.0
16-4-4,100,1,95,94,94.0,94.0,94.0,0.0,0.0
16-4-4,11,1,86,85,85.0,85.0,85.0,0.0,0.0
16-4-4,12,1,92,91,91.0,91.0,91.0,0.0,0.0
16-4-4,13,1,94,93,93.0,93.0,93.0,0.0,0.0
16-4-4,14,1,102,101,101.0,101.0,101.0,0.0,0.0
16-4-4,15,1,103,102,102.0,102.0,102.0,0.0,0.0
16-4-4,16,1,90,89,89.0,89.0,89.0,0.0,0.0
16-4-4,17,1,84,83,83.0,83.0,83.0,0.0,0.0
16-4-4,18,1,83,82,82.0,82.0,82.0,0.0,0.0
16-4-4,19,1,82,81,81.0,81.0,81.0,0.0,0.0
16-4-4,2,1,86,85,85.0,85.0,85.0,0.0,0.0
16-4-4,20,1,103,102,102.0,102.0,102.0,0.0,0.0
16-4-4,21,1,83,82,82.0,82.0,82.0,0.0,0.0
16-4-4,22,1,87,86,86.0,86.0,86.0,0.0,0.0
16-4-4,23,1,87,86,86.0,86.0,86.0,0.0,0.0
16-4-4,24,1,88,87,87.0,87.0,87.0,0.0,0.0
16-4-4,25,1,91,90,90.0,90.0,90.0,0.0,0.0
16-4-4,26,1,91,90,90.0,90.0,90.0,0.0,0.0
16-4-4,27,1,88,87,87.0,87.0,87.0,0.0,0.0
16-4-4,28,1,117,116,116.0,116.0,116.0,0.0,0.0
16-4-4,29,1,83,82,82.0,82.0,82.0,0.0,0.0
16-4-4,3,1,97,96,96.0,96.0,96.0,0.0,0.0
16-4-4,30,1,88,87,87.0,87.0,87.0,0.0,0.0
16-4-4,31,1,89,88,88.0,88.0,88.0,0.0,0.0
16-4-4,32,1,94,93,93.0,93.0,93.0,0.0,0.0
16-4-4,33,1,88,87,87.0,87.0,87.0,0.0,0.0
16-4-4,34,1,82,81,81.0,81.0,81.0,0.0,0.0
16-4-4,35,1,103,102,102.0,102.0,102.0,0.0,0.0
16-4-4,36,1,88,87,87.0,87.0,87.0,0.0,0.0
16-4-4,37,1,89,88,88.0,88.0,88.0,0.0,0.0
16-4-4,38,1,93,92,92.0,92.0,92.0,0.0,0.0
16-4-4,39,1,87,86,86.0,86.0,86.0,0.0,0.0
16-4-4,4,1,79,78,78.0,78.0,78.0,0.0,0.0
16-4-4,40,1,86,85,85.0,85.0,85.0,0.0,0.0
16-4-4,41,1,89,88,88.0,88.0,88.0,0.0,0.0
16-4-4,42,1,103,102,102.0,102.0,102.0,0.0,0.0
16-4-4,43,1,87,86,86.0,86.0,86.0,0.0,0.0
16-4-4,44,1,98,97,97.0,97.0,97.0,0.0,0.0
16-4-4,45,1,87,86,86.0,86.0,86.0,0.0,0.0
16-4-4,46,1,83,82,82.0,82.0,82.0,0.0,0.0
16-4-4,47,1,85,84,84.0,84.0,84.0,0.0,0.0
16-4-4,48,1,91,90,90.0,90.0,90.0,0.0,0.0
16-4-4,49,1,94,93,93.0,93.0,93.0,0.0,0.0
16-4-4,5,1,87,86,86.0,86.0,86.0,0.0,0.0
16-4-4,50,1,79,78,78.0,78.0,78.0,0.0,0.0
16-4-4,51,1,94,93,93.0,93.0,93.0,0.0,0.0
16-4-4,52,1,78,77,77.0,77.0,77.0,0.0,0.0
16-4-4,53,1,94,93,93.0,93.0,93.0,0.0,0.0
16-4-4,54,1,94,93,93.0,93.0,93.0,0.0,0.0
16-4-4,55,1,89,88,88.0,88.0,88.0,0.0,0.0
16-4-4,56,1,82,81,81.0,81.0,81.0,0.0,0.0
16-4-4,57,1,85,84,84.0,84.0,84.0,0.0,0.0
16-4-4,58,1,88,87,87.0,87.0,87.0,0.0,0.0
16-4-4,59,1,88,87,87.0,87.0,87.0,0.0,0.0
16-4-4,6,1,85,84,84.0,84.0,84.0,0.0,0.0
16-4-4,60,1,93,92,92.0,92.0,92.0,0.0,0.0
16-4-4,61,1,97,96,96.0,96.0,96.0,0.0,0.0
16-4-4,62,1,92,91,91.0,91.0,91.0,0.0,0.0
16-4-4,63,1,89,88,88.0,88.0,88.0,0.0,0.0
16-4-4,64,1,89,88,88.0,88.0,88.0,0.0,0.0
