Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
14-4-4,45,1,370,369,369.0,369.0,369.0,0.0,0.0
14-4-4,46,1,82,81,81.0,81.0,81.0,0.0,0.0
14-4-4,47,1,377,376,376.0,376.0,376.0,0.0,0.0
14-4-4,48,1,371,370,370.0,370.0,370.0,0.0,0.0
14-4-4,49,1,381,380,380.0,380.0,380.0,0.0,0.0
14-4-4,5,1,472,471,471.0,471.0,471.0,0.0,0.0
14-4-4,50,1,467,466,466.0,466.0,466.0,0.0,0.0
14-4-4,51,1,371,370,370.0,370.0,370.0,0.0,0.0
14-4-4,52,1,274,273,273.0,273.0,273.0,0.0,0.0
14-4-4,53,1,469,468,468.0,468.0,468.0,0.0,0.0
14-4-4,54,1,272,271,271.0,271.0,271.0,0.0,0.0
14-4-4,55,1,370,369,369.0,369.0,369.0,0.0,0.0
14-4-4,56,1,466,465,465.0,465.0,465.0,0.0,0.0
14-4-4,57,1,89,88,88.0,88.0,88.0,0.0,0.0
14-4-4,58,1,756,755,755.0,755.0,755.0,0.0,0.0
14-4-4,59,1,108,107,107.0,107.0,107.0,0.0,0.0
14-4-4,6,1,380,379,379.0,379.0,379.0,0.0,0.0
14-4-4,60,1,376,375,375.0,375.0,375.0,0.0,0.0
14-4-4,61,1,473,472,472.0,472.0,472.0,0.0,0.0
14-4-4,62,1,474,473,473.0,473.0,473.0,0.0,0.0
14-4-4,63,1,272,271,271.0,271.0,271.0,0.0,0.0
14-4-4,64,1,665,664,664.0,664.0,664.0,0.0,0.0
14-4-4,65,1,473,472,472.0,472.0,472.0,0.0,0.0
14-4-4,66,1,767,766,766.0,766.0,766.0,0.0,0.0
14-4-4,67,1,373,372,372.0,372.0,372.0,0.0,0.0
14-4-4,68,1,93,92,92.0,92.0,92.0,0.0,0.0
14-4-4,69,1,470,469,469.0,469.0,469.0,0.0,0.0
14-4-4,7,1,570,569,569.0,569.0,569.0,0.0,0.0
14-4-4,70,1,284,283,283.0,283.0,283.0,0.0,0.0
14-4-4,71,1,476,475,475.0,475.0,475.0,0.0,0.0
14-4-4,72,1,664,663,663.0,663.0,663.0,0.0,0.0
14-4-4,73,1,368,367,367.0,367.0,367.0,0.0,0.0
14-4-4,74,1,370,369,369.0,369.0,369.0,0.0,0.0
14-4-4,75,1,278,277,277.0,277.0,277.0,0.0,0.0
14-4-4,76,1,87,86,86.0,86.0,86.0,0.0,0.0
14-4-4,77,1,467,466,466.0,466.0,466.0,0.0,0.0
14-4-4,78,1,85,84,84.0,84.0,84.0,0.0,0.0
14-4-4,79,1,278,277,277.0,277.0,277.0,0.0,0.0
14-4-4,8,1,94,93,93.0,93.0,93.0,0.0,0.0
14-4-4,80,1,463,462,462.0,462.0,462.0,0.0,0.0
14-4-4,81,1,472,471,471.0,471.0,471.0,0.0,0.0
14-4-4,82,1,121,120,120.0,120.0,120.0,0.0,0.0
14-4-4,83,1,74,73,73.0,73.0,73.0,0.0,0.0
14-4-4,84,1,574,573,573.0,573.0,573.0,0.0,0.0
14-4-4,85,1,370,369,369.0,369.0,369.0,0.0,0.0
14-4-4,86,1,369,368,368.0,368.0,368.0,0.0,0.0
14-4-4,87,1,663,662,662.0,662.0,662.0,0.0,0.0
14-4-4,88,1,76,75,75.0,75.0,75.0,0.0,0.0
14-4-4,89,1,570,569,569.0,569.0,569.0,0.0,0.0
14-4-4,9,1,370,369,369.0,369.0,369.0,0.0,0.0
14-4-4,90,1,288,287,287.0,287.0,287.0,0.0,0.0
14-4-4,91,1,465,464,464.0,464.0,464.0,0.0,0.0
14-4-4,92,1,285,284,284.0,284.0,284.0,0.0,0.0
14-4-4,93,1,567,566,566.0,566.0,566.0,0.0,0.0
14-4-4,94,1,471,470,470.0,470.0,470.0,0.0,0.0
14-4-4,95,1,273,272,272.0,272.0,272.0,0.0,0.0
14-4-4,96,1,370,369,369.0,369.0,369.0,0.0,0.0
14-4-4,97,1,391,390,390.0,390.0,390.0,0.0,0.0
14-4-4,98,1,374,373,373.0,373.0,373.0,0.0,0.0
14-4-4,99,1,462,461,461.0,461.0,461.0,0.0,0.0
16-4-4,1,1,119,118,118.0,118.0,118.0,0.0,0.0
16-4-4,10,1,294,293,293.0,293.0,293.0,0.0,0.0
16-4-4,100,1,387,386,386.0,386.0,386.0,0.0,0.0
16-4-4,11,1,99,98,98.0,98.0,98.0,0.0,0.0
16-4-4,12,1,773,772,772.0,772.0,772.0,0.0,0.0
16-4-4,13,1,588,587,587.0,587.0,587.0,0.0,0.0
16-4-4,14,1,487,486,486.0,486.0,486.0,0.0,0.0
16-4-4,15,1,692,691,691.0,691.0,691.0,0.0,0.0
16-4-4,16,1,488,487,487.0,487.0,487.0,0.0,0.0
16-4-4,17,1,471,470,470.0,470.0,470.0,0.0,0.0
16-4-4,18,1,387,386,386.0,386.0,386.0,0.0,0.0
16-4-4,19,1,93,92,92.0,92.0,92.0,0.0,0.0
16-4-4,2,1,389,388,388.0,388.0,388.0,0.0,0.0
16-4-4,20,1,679,678,678.0,678.0,678.0,0.0,0.0
16-4-4,21,1,482,481,481.0,481.0,481.0,0.0,0.0
16-4-4,22,1,577,576,576.0,576.0,576.0,0.0,0.0
16-4-4,23,1,115,114,114.0,114.0,114.0,0.0,0.0
16-4-4,24,1,293,292,292.0,292.0,292.0,0.0,0.0
16-4-4,25,1,501,500,500.0,500.0,500.0,0.0,0.0
16-4-4,26,1,587,586,586.0,586.0,586.0,0.0,0.0
16-4-4,27,1,477,476,476.0,476.0,476.0,0.0,0.0
16-4-4,28,1,691,690,690.0,690.0,690.0,0.0,0.0
16-4-4,29,1,379,378,378.0,378.0,378.0,0.0,0.0
16-4-4,3,1,112,111,111.0,111.0,111.0,0.0,0.0
16-4-4,30,1,291,290,290.0,290.0,290.0,0.0,0.0
16-4-4,31,1,579,578,578.0,578.0,578.0,0.0,0.0
16-4-4,32,1,308,307,307.0,307.0,307.0,0.0,0.0
16-4-4,33,1,584,583,583.0,583.0,583.0,0.0,0.0
16-4-4,34,1,477,476,476.0,476.0,476.0,0.0,0.0
16-4-4,35,1,490,489,489.0,489.0,489.0,0.0,0.0
16-4-4,36,1,577,576,576.0,576.0,576.0,0.0,0.0
16-4-4,37,1,675,674,674.0,674.0,674.0,0.0,0.0
16-4-4,38,1,577,576,576.0,576.0,576.0,0.0,0.0
16-4-4,39,1,110,109,109.0,109.0,109.0,0.0,0.0
16-4-4,4,1,86,85,85.0,85.0,85.0,0.0,0.0
16-4-4,40,1,97,96,96.0,96.0,96.0,0.0,0.0
16-4-4,41,1,295,294,294.0,294.0,294.0,0.0,0.0
16-4-4,42,1,776,775,775.0,775.0,775.0,0.0,0.0
16-4-4,43,1,482,481,481.0,481.0,481.0,0.0,0.0
16-4-4,44,1,580,579,579.0,579.0,579.0,0.0,0.0
16-4-4,45,1,91,90,90.0,90.0,90.0,0.0,0.0
16-4-4,46,1,284,283,283.0,283.0,283.0,0.0,0.0
16-4-4,47,1,377,376,376.0,376.0,376.0,0.0,0.0
16-4-4,48,1,673,672,672.0,672.0,672.0,0.0,0.0
16-4-4,49,1,396,395,395.0,395.0,395.0,0.0,0.0
16-4-4,5,1,394,393,393.0,393.0,393.0,0.0,0.0
16-4-4,50,1,479,478,478.0,478.0,478.0,0.0,0.0
16-4-4,51,1,494,493,493.0,493.0,493.0,0.0,0.0
16-4-4,52,1,100,99,99.0,99.0,99.0,0.0,0.0
16-4-4,53,1,676,675,675.0,675.0,675.0,0.0,0.0
16-4-4,54,1,106,105,105.0,105.0,105.0,0.0,0.0
16-4-4,55,1,678,677,677.0,677.0,677.0,0.0,0.0
16-4-4,56,1,477,476,476.0,476.0,476.0,0.0,0.0
16-4-4,57,1,384,383,383.0,383.0,383.0,0.0,0.0
16-4-4,58,1,575,574,574.0,574.0,574.0,0.0,0.0
16-4-4,59,1,581,580,580.0,580.0,580.0,0.0,0.0
16-4-4,6,1,108,107,107.0,107.0,107.0,0.0,0.0
16-4-4,60,1,487,486,486.0,486.0,486.0,0.0,0.0
16-4-4,61,1,478,477,477.0,477.0,477.0,0.0,0.0
16-4-4,62,1,112,111,111.0,111.0,111.0,0.0,0.0
16-4-4,63,1,680,679,679.0,679.0,679.0,0.0,0.0
16-4-4,64,1,388,387,387.0,387.0,387.0,0.0,0.0
16-4-4,65,1,482,481,481.0,481.0,481.0,0.0,0.0
16-4-4,66,1,299,298,298.0,298.0,298.0,0.0,0.0
16-4-4,67,1,579,578,578.0,578.0,578.0,0.0,0.0
16-4-4,68,1,279,278,278.0,278.0,278.0,0.0,0.0
16-4-4,69,1,706,705,705.0,705.0,705.0,0.0,0.0
16-4-4,7,1,388,387,387.0,387.0,387.0,0.0,0.0
16-4-4,70,1,108,107,107.0,107.0,107.0,0.0,0.0
16-4-4,71,1,477,476,476.0,476.0,476.0,0.0,0.0
16-4-4,72,1,474,473,473.0,473.0,473.0,0.0,0.0
16-4-4,73,1,386,385,385.0,385.0,385.0,0.0,0.0
16-4-4,74,1,576,575,575.0,575.0,575.0,0.0,0.0
16-4-4,75,1,385,384,384.0,384.0,384.0,0.0,0.0
16-4-4,76,1,379,378,378.0,378.0,378.0,0.0,0.0
16-4-4,77,1,101,100,100.0,100.0,100.0,0.0,0.0
16-4-4,78,1,480,479,479.0,479.0,479.0,0.0,0.0
16-4-4,79,1,91,90,90.0,90.0,90.0,0.0,0.0
16-4-4,8,1,482,481,481.0,481.0,481.0,0.0,0.0
16-4-4,80,1,294,293,293.0,293.0,293.0,0.0,0.0
16-4-4,81,1,296,295,295.0,295.0,295.0,0.0,0.0
16-4-4,82,1,91,90,90.0,90.0,90.0,0.0,0.0
16-4-4,83,1,387,386,386.0,386.0,386.0,0.0,0.0
16-4-4,84,1,482,481,481.0,481.0,481.0,0.0,0.0
16-4-4,85,1,92,91,91.0,91.0,91.0,0.0,0.0
16-4-4,86,1,483,482,482.0,482.0,482.0,0.0,0.0
16-4-4,87,1,587,586,586.0,586.0,586.0,0.0,0.0
16-4-4,88,1,578,577,577.0,577.0,577.0,0.0,0.0
16-4-4,89,1,112,111,111.0,111.0,111.0,0.0,0.0
16-4-4,9,1,109,108,108.0,108.0,108.0,0.0,0.0
16-4-4,90,1,675,674,674.0,674.0,674.0,0.0,0.0
16-4-4,91,1,110,109,109.0,109.0,109.0,0.0,0.0
16-4-4,92,1,99,98,98.0,98.0,98.0,0.0,0.0
16-4-4,93,1,413,412,412.0,412.0,412.0,0.0,0.0
16-4-4,94,1,100,99,99.0,99.0,99.0,0.0,0.0
16-4-4,95,1,792,791,791.0,791.0,791.0,0.0,0.0
16-4-4,96,1,479,478,478.0,478.0,478.0,0.0,0.0
