Folder	File	Mutants total	Mutants dead total	Mutants alive	Mutantion score			
14-4-4	91	154208	1568	152640	1%			
14-4-4	92	154208	3294	150914	2%			
14-4-4	93	154208	1568	152640	1%			
14-4-4	94	154208	1568	152640	1%			
14-4-4	95	154208	5017	149191	3%			
14-4-4	96	154208	4944	149264	3%			
14-4-4	97	154208	3294	150914	2%			
14-4-4	98	154208	3294	150914	2%			
14-4-4	99	154208	1568	152640	1%			
16-4-4	1	154208	1568	152640	1%			
16-4-4	10	154208	3294	150914	2%			
16-4-4	100	154208	1568	152640	1%			
16-4-4	11	154208	1568	152640	1%			
16-4-4	12	154208	8570	145638	6%			
16-4-4	13	154208	17324	136884	11%			
16-4-4	14	154208	1568	152640	1%			
16-4-4	15	154208	5024	149184	3%			
16-4-4	16	154208	15496	138712	10%			
16-4-4	17	154208	6924	147284	4%			
16-4-4	18	154208	1568	152640	1%			
16-4-4	19	154208	5589	148619	4%			
16-4-4	2	154208	3294	150914	2%			
16-4-4	20	154208	5106	149102	3%			
16-4-4	21	154208	11530	142678	7%			
16-4-4	22	154208	4765	149443	3%			
16-4-4	23	154208	4765	149443	3%			
16-4-4	24	154208	5024	149184	3%			
16-4-4	25	154208	3542	150666	2%			
16-4-4	26	154208	1568	152640	1%			
16-4-4	27	154208	3294	150914	2%			
16-4-4	28	154208	3370	150838	2%			
16-4-4	29	154208	9701	144507	6%			
16-4-4	3	154208	1568	152640	1%			
16-4-4	30	154208	1568	152640	1%			
16-4-4	31	154208	1568	152640	1%			
16-4-4	32	154208	12290	141918	8%			
16-4-4	33	154208	3294	150914	2%			
16-4-4	34	154208	1568	152640	1%			
16-4-4	35	154208	6670	147538	4%			
16-4-4	36	154208	10316	143892	7%			
16-4-4	37	154208	1568	152640	1%			
16-4-4	38	154208	1568	152640	1%			
16-4-4	39	154208	1568	152640	1%			
16-4-4	4	154208	3542	150666	2%			
16-4-4	40	154208	1568	152640	1%			
16-4-4	41	154208	1568	152640	1%			
16-4-4	42	154208	5105	149103	3%			
16-4-4	43	154208	3294	150914	2%			
16-4-4	44	154208	1568	152640	1%			
16-4-4	45	154208	1568	152640	1%			
16-4-4	46	154208	10464	143744	7%			
16-4-4	47	154208	6839	147369	4%			
16-4-4	48	154208	3542	150666	2%			
16-4-4	49	154208	10367	143841	7%			
16-4-4	5	154208	1568	152640	1%			
16-4-4	50	154208	1568	152640	1%			
16-4-4	51	154208	4865	149343	3%			
16-4-4	52	154208	8477	145731	5%			
16-4-4	53	154208	1568	152640	1%			
16-4-4	54	154208	1568	152640	1%			
16-4-4	55	154208	1568	152640	1%			
16-4-4	56	154208	9891	144317	6%			
16-4-4	57	154208	3294	150914	2%			
16-4-4	58	154208	5024	149184	3%			
16-4-4	59	154208	13926	140282	9%			
16-4-4	6	154208	1568	152640	1%			
16-4-4	60	154208	6839	147369	4%			
16-4-4	61	154208	3294	150914	2%			
16-4-4	62	154208	5103	149105	3%			
16-4-4	63	154208	3294	150914	2%			
16-4-4	64	154208	12103	142105	8%			
16-4-4	65	154208	3294	150914	2%			
16-4-4	66	154208	1568	152640	1%			
16-4-4	67	154208	1568	152640	1%			
16-4-4	68	154208	1568	152640	1%			
16-4-4	69	154208	3542	150666	2%			
16-4-4	7	154208	1568	152640	1%			
16-4-4	70	154208	3294	150914	2%			
16-4-4	71	154208	1568	152640	1%			
16-4-4	72	154208	8644	145564	6%			
16-4-4	73	154208	3294	150914	2%			
16-4-4	74	154208	5593	148615	4%			
16-4-4	75	154208	1568	152640	1%			
16-4-4	76	154208	4944	149264	3%			
16-4-4	77	154208	3294	150914	2%			
16-4-4	78	154208	4944	149264	3%			
16-4-4	79	154208	6838	147370	4%			
16-4-4	8	154208	1568	152640	1%			
16-4-4	80	154208	6838	147370	4%			
16-4-4	81	154208	8646	145562	6%			
16-4-4	82	154208	1568	152640	1%			
16-4-4	83	154208	1568	152640	1%			
