Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
14-4-4,1,14,545,531,30.0,46.0,37.92857142857143,4.763067623581802,22.686813186813193
14-4-4,10,14,554,540,31.0,43.0,38.57142857142857,3.735778895497424,13.956043956043953
14-4-4,100,12,434,422,17.0,48.0,35.166666666666664,12.690965529092185,161.0606060606061
14-4-4,11,14,598,584,34.0,47.0,41.714285714285715,4.530725386455521,20.52747252747253
14-4-4,12,12,294,282,5.0,48.0,23.5,17.855480442099054,318.8181818181818
14-4-4,13,18,588,570,23.0,40.0,31.666666666666664,5.881176352917641,34.588235294117645
14-4-4,14,15,562,547,32.0,45.0,36.46666666666667,3.563037762252611,12.695238095238093
14-4-4,15,18,588,570,17.0,37.0,31.666666666666668,5.1105427362290525,26.11764705882353
14-4-4,16,13,654,641,38.0,56.0,49.30769230769231,5.864932727443334,34.3974358974359
14-4-4,17,17,479,462,13.0,42.0,27.176470588235297,10.211729127072745,104.27941176470588
14-4-4,18,14,644,630,27.0,50.0,45.0,6.15192277634837,37.84615384615385
14-4-4,2,11,411,400,11.0,48.0,36.36363636363637,10.22030065382352,104.45454545454545
14-4-4,20,14,589,575,15.0,54.0,41.07142857142857,15.040787038093278,226.22527472527474
14-4-4,21,11,450,439,28.0,47.0,39.90909090909091,5.300085762599421,28.090909090909086
14-4-4,22,12,442,430,18.0,50.0,35.833333333333336,10.373334112331515,107.60606060606064
14-4-4,23,19,570,551,4.0,47.0,29.0,15.391195174153594,236.88888888888889
14-4-4,24,16,478,462,9.0,33.0,28.875,5.714017850864661,32.65
14-4-4,25,12,587,575,42.0,53.0,47.916666666666664,4.252450274057691,18.08333333333333
14-4-4,26,12,433,421,7.0,51.0,35.083333333333336,18.539678987773684,343.719696969697
14-4-4,27,13,591,578,36.0,50.0,44.46153846153846,4.351539662682328,18.935897435897434
14-4-4,28,12,493,481,33.0,44.0,40.083333333333336,3.7040109300185615,13.719696969696969
14-4-4,29,12,507,495,28.0,56.0,41.25,10.626938325868753,112.93181818181819
